,song_name,song_id,album,release_date,energy,acousticness,valence,popularity,genres
0,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,Midnights,2022-10-21,0.436,0.258,0.0976,90,['pop']
1,Maroon,3eX0NZfLtGzoLUxPNvRfqm,Midnights,2022-10-21,0.398,0.0573,0.0374,87,['shoegaze']
2,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,Midnights,2022-10-21,0.643,0.13,0.533,97,['pop']
3,Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,Midnights,2022-10-21,0.319,0.69,0.193,88,['dream pop']
4,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,Midnights,2022-10-21,0.396,0.401,0.38,87,['pop']
5,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,Midnights,2022-10-21,0.363,0.69,0.23,90,['pop']
6,Question...?,0heeNYlwOGuUSe7TgUD27B,Midnights,2022-10-21,0.502,0.2,0.106,84,['pop']
7,Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,Midnights,2022-10-21,0.277,0.173,0.163,85,['dark pop']
8,Bejeweled,3qoftcUZaUOncvIYjFSPdE,Midnights,2022-10-21,0.559,0.0618,0.433,87,['pop']
9,Labyrinth,0A1JLUlkZkp2EFrosoNQi0,Midnights,2022-10-21,0.306,0.785,0.122,82,['pop']
10,Karma,7KokYm8cMIXCsGVmUvKtqf,Midnights,2022-10-21,0.62,0.0734,0.0969,87,['synthpop']
11,Sweet Nothing,0wavGRldH0AWyu2zvTz8zb,Midnights,2022-10-21,0.156,0.964,0.39,82,['pop']
12,Mastermind,7FmYn9e7KHMXcxqGSj9LjH,Midnights,2022-10-21,0.357,0.553,0.124,83,['pop']
13,willow,0lx2cLdOt3piJbcaXIV74f,evermore,2020-12-11,0.574,0.833,0.529,78,['folk']
14,champagne problems,0sY6ZUTh4yoctD8VIXz339,evermore,2020-12-11,0.24,0.92,0.32,79,[]
15,gold rush,5BK0uqwY9DNfZ630STAEaq,evermore,2020-12-11,0.462,0.83,0.353,71,['indie']
16,‘tis the damn season,7dW84mWkdWE5a6lFWxJCBG,evermore,2020-12-11,0.434,0.735,0.348,68,['folk']
17,tolerate it,0PurA4JVJ8YQgSVopY8fn6,evermore,2020-12-11,0.361,0.878,0.221,70,['indie']
18,"no body, no crime (feat. HAIM)",3RaT22zZsxVYxxKR7TAaYF,evermore,2020-12-11,0.613,0.418,0.535,68,['country']
19,happiness,73YUReisjb3A9ActdLLjJQ,evermore,2020-12-11,0.334,0.87,0.211,66,['alternative']
20,dorothea,670fUmXf4KQekzbEgaXyPA,evermore,2020-12-11,0.488,0.696,0.354,65,['folk']
21,coney island (feat. The National),3k7ne7VmH43ZPWxPdvPUgR,evermore,2020-12-11,0.537,0.819,0.292,66,['folk']
22,ivy,19CSr8rwW05VJL2F91KFNK,evermore,2020-12-11,0.545,0.855,0.535,69,['folk']
23,cowboy like me,1XjHRolIXL2M1EEOUsGGR4,evermore,2020-12-11,0.517,0.768,0.511,66,['country']
24,long story short,2o2sgVJIgFXk8GQjWTgI6U,evermore,2020-12-11,0.73,0.66,0.573,65,['folk']
25,marjorie,12ntTeqEeTg7GAVpe8Mhpl,evermore,2020-12-11,0.561,0.876,0.287,65,['alternative']
26,closure,35rdVq36LMHQX0Suw9a6tK,evermore,2020-12-11,0.704,0.835,0.92,63,['hyperpop']
27,evermore (feat. Bon Iver),3O5osWf1rSoKMwe6E9ZaXP,evermore,2020-12-11,0.27,0.937,0.32,66,['alternative']
28,the 1,0Jlcvv8IykzHaSmj49uNW8,folklore,2020-07-24,0.357,0.757,0.172,76,['folk']
29,cardigan,4R2kfaDFhslZEMJqAFNpdd,folklore,2020-07-24,0.581,0.537,0.551,84,['chamber pop']
30,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,folklore,2020-07-24,0.662,0.467,0.706,70,['folk']
31,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,folklore,2020-07-24,0.38,0.778,0.152,79,['folk']
32,my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,folklore,2020-07-24,0.263,0.806,0.111,76,['folk']
33,mirrorball,0ZNU020wNYvgW84iljPkPP,folklore,2020-07-24,0.413,0.687,0.379,76,['dream pop']
34,seven,6KJqZcs9XDgVck7Lg9QOTC,folklore,2020-07-24,0.488,0.9,0.415,70,['folk']
35,august,3hUxzQpSfdDqwM3ZTFQY0K,folklore,2020-07-24,0.623,0.538,0.403,84,['indie']
36,this is me trying,7kt9e9LFSpN1zQtYEl19o1,folklore,2020-07-24,0.476,0.314,0.412,75,['folk']
37,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,folklore,2020-07-24,0.31,0.881,0.46,73,['folk']
